code,geofips,geoname,timeperiod,cl_unit,unit_mult,datavalue,noteref,table,endpoint,topic
SAGDP4N-1,00000,United States,2017,Thousands of dollars,3,10434978000,,SAGDP4N,1,All industry total
SAGDP4N-1,00000,United States,2018,Thousands of dollars,3,10967687000,,SAGDP4N,1,All industry total
SAGDP4N-1,00000,United States,2019,Thousands of dollars,3,11459776000,,SAGDP4N,1,All industry total
SAGDP4N-1,00000,United States,2020,Thousands of dollars,3,11602288000,,SAGDP4N,1,All industry total
SAGDP4N-1,00000,United States,2021,Thousands of dollars,3,12556629000,,SAGDP4N,1,All industry total
SAGDP4N-1,00000,United States,2022,Thousands of dollars,3,13455238000,,SAGDP4N,1,All industry total
SAGDP4N-1,01000,Alabama,2017,Thousands of dollars,3,116587127,,SAGDP4N,1,All industry total
SAGDP4N-1,01000,Alabama,2018,Thousands of dollars,3,121558431,,SAGDP4N,1,All industry total
SAGDP4N-1,01000,Alabama,2019,Thousands of dollars,3,126964652,,SAGDP4N,1,All industry total
SAGDP4N-1,01000,Alabama,2020,Thousands of dollars,3,129833671,,SAGDP4N,1,All industry total
SAGDP4N-1,01000,Alabama,2021,Thousands of dollars,3,139053742,,SAGDP4N,1,All industry total
SAGDP4N-1,01000,Alabama,2022,Thousands of dollars,3,148887514,,SAGDP4N,1,All industry total
SAGDP4N-1,02000,Alaska,2017,Thousands of dollars,3,27153790,,SAGDP4N,1,All industry total
SAGDP4N-1,02000,Alaska,2018,Thousands of dollars,3,28290113,,SAGDP4N,1,All industry total
SAGDP4N-1,02000,Alaska,2019,Thousands of dollars,3,29023524,,SAGDP4N,1,All industry total
SAGDP4N-1,02000,Alaska,2020,Thousands of dollars,3,28358080,,SAGDP4N,1,All industry total
SAGDP4N-1,02000,Alaska,2021,Thousands of dollars,3,29276878,,SAGDP4N,1,All industry total
SAGDP4N-1,02000,Alaska,2022,Thousands of dollars,3,30946815,,SAGDP4N,1,All industry total
SAGDP4N-1,04000,Arizona,2017,Thousands of dollars,3,181242047,,SAGDP4N,1,All industry total
SAGDP4N-1,04000,Arizona,2018,Thousands of dollars,3,193323408,,SAGDP4N,1,All industry total
SAGDP4N-1,04000,Arizona,2019,Thousands of dollars,3,204537397,,SAGDP4N,1,All industry total
SAGDP4N-1,04000,Arizona,2020,Thousands of dollars,3,214321564,,SAGDP4N,1,All industry total
SAGDP4N-1,04000,Arizona,2021,Thousands of dollars,3,233548160,,SAGDP4N,1,All industry total
SAGDP4N-1,04000,Arizona,2022,Thousands of dollars,3,252446236,,SAGDP4N,1,All industry total
SAGDP4N-1,05000,Arkansas,2017,Thousands of dollars,3,68590238,,SAGDP4N,1,All industry total
SAGDP4N-1,05000,Arkansas,2018,Thousands of dollars,3,70973458,,SAGDP4N,1,All industry total
SAGDP4N-1,05000,Arkansas,2019,Thousands of dollars,3,73920310,,SAGDP4N,1,All industry total
SAGDP4N-1,05000,Arkansas,2020,Thousands of dollars,3,75944942,,SAGDP4N,1,All industry total
SAGDP4N-1,05000,Arkansas,2021,Thousands of dollars,3,81663830,,SAGDP4N,1,All industry total
SAGDP4N-1,05000,Arkansas,2022,Thousands of dollars,3,88179964,,SAGDP4N,1,All industry total
SAGDP4N-1,06000,California,2017,Thousands of dollars,3,1460857659,,SAGDP4N,1,All industry total
SAGDP4N-1,06000,California,2018,Thousands of dollars,3,1540875119,,SAGDP4N,1,All industry total
SAGDP4N-1,06000,California,2019,Thousands of dollars,3,1624291184,,SAGDP4N,1,All industry total
SAGDP4N-1,06000,California,2020,Thousands of dollars,3,1675326128,,SAGDP4N,1,All industry total
SAGDP4N-1,06000,California,2021,Thousands of dollars,3,1849531442,,SAGDP4N,1,All industry total
SAGDP4N-1,06000,California,2022,Thousands of dollars,3,1930487198,,SAGDP4N,1,All industry total
SAGDP4N-1,08000,Colorado,2017,Thousands of dollars,3,193227170,,SAGDP4N,1,All industry total
SAGDP4N-1,08000,Colorado,2018,Thousands of dollars,3,205553207,,SAGDP4N,1,All industry total
SAGDP4N-1,08000,Colorado,2019,Thousands of dollars,3,219298867,,SAGDP4N,1,All industry total
SAGDP4N-1,08000,Colorado,2020,Thousands of dollars,3,224468433,,SAGDP4N,1,All industry total
SAGDP4N-1,08000,Colorado,2021,Thousands of dollars,3,244737348,,SAGDP4N,1,All industry total
SAGDP4N-1,08000,Colorado,2022,Thousands of dollars,3,265595863,,SAGDP4N,1,All industry total
SAGDP4N-1,09000,Connecticut,2017,Thousands of dollars,3,140537403,,SAGDP4N,1,All industry total
SAGDP4N-1,09000,Connecticut,2018,Thousands of dollars,3,143441923,,SAGDP4N,1,All industry total
SAGDP4N-1,09000,Connecticut,2019,Thousands of dollars,3,146514067,,SAGDP4N,1,All industry total
SAGDP4N-1,09000,Connecticut,2020,Thousands of dollars,3,146288730,,SAGDP4N,1,All industry total
SAGDP4N-1,09000,Connecticut,2021,Thousands of dollars,3,154722863,,SAGDP4N,1,All industry total
SAGDP4N-1,09000,Connecticut,2022,Thousands of dollars,3,165993291,,SAGDP4N,1,All industry total
SAGDP4N-1,10000,Delaware,2017,Thousands of dollars,3,31982205,,SAGDP4N,1,All industry total
SAGDP4N-1,10000,Delaware,2018,Thousands of dollars,3,33269662,,SAGDP4N,1,All industry total
SAGDP4N-1,10000,Delaware,2019,Thousands of dollars,3,34727019,,SAGDP4N,1,All industry total
SAGDP4N-1,10000,Delaware,2020,Thousands of dollars,3,34940216,,SAGDP4N,1,All industry total
SAGDP4N-1,10000,Delaware,2021,Thousands of dollars,3,37124936,,SAGDP4N,1,All industry total
SAGDP4N-1,10000,Delaware,2022,Thousands of dollars,3,39946932,,SAGDP4N,1,All industry total
SAGDP4N-1,11000,District of Columbia,2017,Thousands of dollars,3,91577525,,SAGDP4N,1,All industry total
SAGDP4N-1,11000,District of Columbia,2018,Thousands of dollars,3,96390408,,SAGDP4N,1,All industry total
SAGDP4N-1,11000,District of Columbia,2019,Thousands of dollars,3,98969618,,SAGDP4N,1,All industry total
