code,geofips,geoname,timeperiod,cl_unit,unit_mult,datavalue,table,endpoint,topic
SAPCE2-1,01000,Alabama,1997,Dollars,0,17609,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,1998,Dollars,0,18235,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,1999,Dollars,0,19157,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2000,Dollars,0,20158,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2001,Dollars,0,20868,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2002,Dollars,0,21700,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2003,Dollars,0,22673,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2004,Dollars,0,23932,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2005,Dollars,0,25303,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2006,Dollars,0,26245,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2007,Dollars,0,27160,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2008,Dollars,0,27555,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2009,Dollars,0,26958,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2010,Dollars,0,27635,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2011,Dollars,0,28422,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2012,Dollars,0,28920,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2013,Dollars,0,29594,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2014,Dollars,0,30365,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2015,Dollars,0,31130,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2016,Dollars,0,32005,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2017,Dollars,0,33020,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2018,Dollars,0,34053,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2019,Dollars,0,35345,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2020,Dollars,0,34878,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2021,Dollars,0,39174,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,01000,Alabama,2022,Dollars,0,42391,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
SAPCE2-1,02000,Alaska,1997,Dollars,0,23213,SAPCE2,1,Per capita personal consumption expenditures (PCE) by state
