code,geofips,geoname,timeperiod,cl_unit,unit_mult,datavalue,noteref,table,endpoint,topic
SAINC51-51,00000,United States,1948,Millions of dollars,6,192363.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1949,Millions of dollars,6,192342.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1950,Millions of dollars,6,213991.6,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1951,Millions of dollars,6,235454.7,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1952,Millions of dollars,6,248561.8,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1953,Millions of dollars,6,264125.9,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1954,Millions of dollars,6,270324.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1955,Millions of dollars,6,289463.3,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1956,Millions of dollars,6,309674.5,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1957,Millions of dollars,6,327325.2,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1958,Millions of dollars,6,337794.3,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1959,Millions of dollars,6,358209.8,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1960,Millions of dollars,6,371767.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1961,Millions of dollars,6,388943.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1962,Millions of dollars,6,412591.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1963,Millions of dollars,6,433368.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1964,Millions of dollars,6,470690.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1965,Millions of dollars,6,506937.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1966,Millions of dollars,6,546533.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1967,Millions of dollars,6,584097.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1968,Millions of dollars,6,634507.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1969,Millions of dollars,6,687425.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1970,Millions of dollars,6,753099.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1971,Millions of dollars,6,823437.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1972,Millions of dollars,6,893321.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1973,Millions of dollars,6,1001571.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1974,Millions of dollars,6,1094397.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1975,Millions of dollars,6,1215359.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1976,Millions of dollars,6,1323488.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1977,Millions of dollars,6,1454268.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1978,Millions of dollars,6,1626753.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1979,Millions of dollars,6,1805040.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1980,Millions of dollars,6,2015208.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1981,Millions of dollars,6,2246114.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1982,Millions of dollars,6,2423869.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1983,Millions of dollars,6,2617374.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1984,Millions of dollars,6,2898442.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1985,Millions of dollars,6,3091714.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1986,Millions of dollars,6,3281021.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1987,Millions of dollars,6,3443399.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1988,Millions of dollars,6,3759653.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1989,Millions of dollars,6,4038619.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1990,Millions of dollars,6,4304023.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1991,Millions of dollars,6,4484825.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1992,Millions of dollars,6,4794802.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1993,Millions of dollars,6,4995852.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1994,Millions of dollars,6,5241737.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1995,Millions of dollars,6,5530555.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1996,Millions of dollars,6,5824654.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1997,Millions of dollars,6,6137540.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1998,Millions of dollars,6,6552573.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,1999,Millions of dollars,6,6867565.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2000,Millions of dollars,6,7384984.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2001,Millions of dollars,6,7752177.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2002,Millions of dollars,6,8095517.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2003,Millions of dollars,6,8472238.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2004,Millions of dollars,6,8961305.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2005,Millions of dollars,6,9329615.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2006,Millions of dollars,6,9935978.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2007,Millions of dollars,6,10434213.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2008,Millions of dollars,6,10917599.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2009,Millions of dollars,6,10907346.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2010,Millions of dollars,6,11311497.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2011,Millions of dollars,6,11848163.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2012,Millions of dollars,6,12398279.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2013,Millions of dollars,6,12387353.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2014,Millions of dollars,6,12994137.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2015,Millions of dollars,6,13527926.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2016,Millions of dollars,6,13927450.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2017,Millions of dollars,6,14611591.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2018,Millions of dollars,6,15442207.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2019,Millions of dollars,6,16146403.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2020,Millions of dollars,6,17355580.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2021,Millions of dollars,6,18651847.0,,SAINC51,51,Disposable personal income
SAINC51-51,00000,United States,2022,Millions of dollars,6,18684871.0,,SAINC51,51,Disposable personal income
SAINC51-51,01000,Alabama,1948,Millions of dollars,6,2464.5,,SAINC51,51,Disposable personal income
SAINC51-51,01000,Alabama,1949,Millions of dollars,6,2376.4,,SAINC51,51,Disposable personal income
SAINC51-51,01000,Alabama,1950,Millions of dollars,6,2655.0,,SAINC51,51,Disposable personal income
SAINC51-51,01000,Alabama,1951,Millions of dollars,6,3038.4,,SAINC51,51,Disposable personal income
