code,geofips,geoname,timeperiod,cl_unit,unit_mult,datavalue,noteref,table,endpoint,topic
SAGDP2N-1,00000,United States,2017,Millions of current dollars,6,19612102.0,,SAGDP2N,1,All industry total
SAGDP2N-1,00000,United States,2018,Millions of current dollars,6,20656516.0,,SAGDP2N,1,All industry total
SAGDP2N-1,00000,United States,2019,Millions of current dollars,6,21521395.0,,SAGDP2N,1,All industry total
SAGDP2N-1,00000,United States,2020,Millions of current dollars,6,21322950.0,,SAGDP2N,1,All industry total
SAGDP2N-1,00000,United States,2021,Millions of current dollars,6,23594031.0,,SAGDP2N,1,All industry total
SAGDP2N-1,00000,United States,2022,Millions of current dollars,6,25744108.0,,SAGDP2N,1,All industry total
SAGDP2N-1,01000,Alabama,2017,Millions of current dollars,6,216615.5,,SAGDP2N,1,All industry total
SAGDP2N-1,01000,Alabama,2018,Millions of current dollars,6,226263.8,,SAGDP2N,1,All industry total
SAGDP2N-1,01000,Alabama,2019,Millions of current dollars,6,234526.4,,SAGDP2N,1,All industry total
SAGDP2N-1,01000,Alabama,2020,Millions of current dollars,6,235118.3,,SAGDP2N,1,All industry total
SAGDP2N-1,01000,Alabama,2021,Millions of current dollars,6,257986.5,,SAGDP2N,1,All industry total
SAGDP2N-1,01000,Alabama,2022,Millions of current dollars,6,281569.0,,SAGDP2N,1,All industry total
SAGDP2N-1,02000,Alaska,2017,Millions of current dollars,6,53550.9,,SAGDP2N,1,All industry total
SAGDP2N-1,02000,Alaska,2018,Millions of current dollars,6,54762.0,,SAGDP2N,1,All industry total
SAGDP2N-1,02000,Alaska,2019,Millions of current dollars,6,54469.9,,SAGDP2N,1,All industry total
SAGDP2N-1,02000,Alaska,2020,Millions of current dollars,6,51261.5,,SAGDP2N,1,All industry total
SAGDP2N-1,02000,Alaska,2021,Millions of current dollars,6,58646.0,,SAGDP2N,1,All industry total
SAGDP2N-1,02000,Alaska,2022,Millions of current dollars,6,65698.8,,SAGDP2N,1,All industry total
SAGDP2N-1,04000,Arizona,2017,Millions of current dollars,6,333099.0,,SAGDP2N,1,All industry total
SAGDP2N-1,04000,Arizona,2018,Millions of current dollars,6,353671.0,,SAGDP2N,1,All industry total
SAGDP2N-1,04000,Arizona,2019,Millions of current dollars,6,375545.0,,SAGDP2N,1,All industry total
SAGDP2N-1,04000,Arizona,2020,Millions of current dollars,6,386443.5,,SAGDP2N,1,All industry total
SAGDP2N-1,04000,Arizona,2021,Millions of current dollars,6,432279.8,,SAGDP2N,1,All industry total
SAGDP2N-1,04000,Arizona,2022,Millions of current dollars,6,475653.7,,SAGDP2N,1,All industry total
SAGDP2N-1,05000,Arkansas,2017,Millions of current dollars,6,123882.6,,SAGDP2N,1,All industry total
SAGDP2N-1,05000,Arkansas,2018,Millions of current dollars,6,129213.8,,SAGDP2N,1,All industry total
SAGDP2N-1,05000,Arkansas,2019,Millions of current dollars,6,132637.2,,SAGDP2N,1,All industry total
SAGDP2N-1,05000,Arkansas,2020,Millions of current dollars,6,135884.5,,SAGDP2N,1,All industry total
SAGDP2N-1,05000,Arkansas,2021,Millions of current dollars,6,151931.9,,SAGDP2N,1,All industry total
SAGDP2N-1,05000,Arkansas,2022,Millions of current dollars,6,165989.3,,SAGDP2N,1,All industry total
SAGDP2N-1,06000,California,2017,Millions of current dollars,6,2740550.3,,SAGDP2N,1,All industry total
SAGDP2N-1,06000,California,2018,Millions of current dollars,6,2899530.9,,SAGDP2N,1,All industry total
SAGDP2N-1,06000,California,2019,Millions of current dollars,6,3062158.9,,SAGDP2N,1,All industry total
SAGDP2N-1,06000,California,2020,Millions of current dollars,6,3068809.4,,SAGDP2N,1,All industry total
SAGDP2N-1,06000,California,2021,Millions of current dollars,6,3416939.4,,SAGDP2N,1,All industry total
SAGDP2N-1,06000,California,2022,Millions of current dollars,6,3641643.4,,SAGDP2N,1,All industry total
SAGDP2N-1,08000,Colorado,2017,Millions of current dollars,6,350209.1,,SAGDP2N,1,All industry total
SAGDP2N-1,08000,Colorado,2018,Millions of current dollars,6,373923.1,,SAGDP2N,1,All industry total
SAGDP2N-1,08000,Colorado,2019,Millions of current dollars,6,397701.6,,SAGDP2N,1,All industry total
SAGDP2N-1,08000,Colorado,2020,Millions of current dollars,6,397612.2,,SAGDP2N,1,All industry total
SAGDP2N-1,08000,Colorado,2021,Millions of current dollars,6,447051.7,,SAGDP2N,1,All industry total
SAGDP2N-1,08000,Colorado,2022,Millions of current dollars,6,491289.0,,SAGDP2N,1,All industry total
SAGDP2N-1,09000,Connecticut,2017,Millions of current dollars,6,273875.1,,SAGDP2N,1,All industry total
SAGDP2N-1,09000,Connecticut,2018,Millions of current dollars,6,280535.4,,SAGDP2N,1,All industry total
SAGDP2N-1,09000,Connecticut,2019,Millions of current dollars,6,285466.4,,SAGDP2N,1,All industry total
SAGDP2N-1,09000,Connecticut,2020,Millions of current dollars,6,275801.9,,SAGDP2N,1,All industry total
SAGDP2N-1,09000,Connecticut,2021,Millions of current dollars,6,295907.5,,SAGDP2N,1,All industry total
SAGDP2N-1,09000,Connecticut,2022,Millions of current dollars,6,319344.8,,SAGDP2N,1,All industry total
SAGDP2N-1,10000,Delaware,2017,Millions of current dollars,6,69555.6,,SAGDP2N,1,All industry total
SAGDP2N-1,10000,Delaware,2018,Millions of current dollars,6,73376.0,,SAGDP2N,1,All industry total
SAGDP2N-1,10000,Delaware,2019,Millions of current dollars,6,78685.8,,SAGDP2N,1,All industry total
SAGDP2N-1,10000,Delaware,2020,Millions of current dollars,6,77615.1,,SAGDP2N,1,All industry total
SAGDP2N-1,10000,Delaware,2021,Millions of current dollars,6,82952.8,,SAGDP2N,1,All industry total
SAGDP2N-1,10000,Delaware,2022,Millions of current dollars,6,90208.3,,SAGDP2N,1,All industry total
SAGDP2N-1,11000,District of Columbia,2017,Millions of current dollars,6,134298.8,,SAGDP2N,1,All industry total
SAGDP2N-1,11000,District of Columbia,2018,Millions of current dollars,6,141240.2,,SAGDP2N,1,All industry total
SAGDP2N-1,11000,District of Columbia,2019,Millions of current dollars,6,145171.0,,SAGDP2N,1,All industry total
SAGDP2N-1,11000,District of Columbia,2020,Millions of current dollars,6,146935.3,,SAGDP2N,1,All industry total
SAGDP2N-1,11000,District of Columbia,2021,Millions of current dollars,6,156139.9,,SAGDP2N,1,All industry total
SAGDP2N-1,11000,District of Columbia,2022,Millions of current dollars,6,165060.5,,SAGDP2N,1,All industry total
SAGDP2N-1,12000,Florida,2017,Millions of current dollars,6,1014866.9,,SAGDP2N,1,All industry total
SAGDP2N-1,12000,Florida,2018,Millions of current dollars,6,1072085.6,,SAGDP2N,1,All industry total
SAGDP2N-1,12000,Florida,2019,Millions of current dollars,6,1127988.6,,SAGDP2N,1,All industry total
SAGDP2N-1,12000,Florida,2020,Millions of current dollars,6,1140133.0,,SAGDP2N,1,All industry total
SAGDP2N-1,12000,Florida,2021,Millions of current dollars,6,1292391.3,,SAGDP2N,1,All industry total
SAGDP2N-1,12000,Florida,2022,Millions of current dollars,6,1439065.0,,SAGDP2N,1,All industry total
SAGDP2N-1,13000,Georgia,2017,Millions of current dollars,6,583543.3,,SAGDP2N,1,All industry total
SAGDP2N-1,13000,Georgia,2018,Millions of current dollars,6,612803.4,,SAGDP2N,1,All industry total
SAGDP2N-1,13000,Georgia,2019,Millions of current dollars,6,646939.0,,SAGDP2N,1,All industry total
SAGDP2N-1,13000,Georgia,2020,Millions of current dollars,6,637930.6,,SAGDP2N,1,All industry total
SAGDP2N-1,13000,Georgia,2021,Millions of current dollars,6,701606.1,,SAGDP2N,1,All industry total
SAGDP2N-1,13000,Georgia,2022,Millions of current dollars,6,767377.6,,SAGDP2N,1,All industry total
SAGDP2N-1,15000,Hawaii,2017,Millions of current dollars,6,87436.4,,SAGDP2N,1,All industry total
SAGDP2N-1,15000,Hawaii,2018,Millions of current dollars,6,90933.5,,SAGDP2N,1,All industry total
SAGDP2N-1,15000,Hawaii,2019,Millions of current dollars,6,93356.2,,SAGDP2N,1,All industry total
SAGDP2N-1,15000,Hawaii,2020,Millions of current dollars,6,84615.2,,SAGDP2N,1,All industry total
SAGDP2N-1,15000,Hawaii,2021,Millions of current dollars,6,93089.8,,SAGDP2N,1,All industry total
SAGDP2N-1,15000,Hawaii,2022,Millions of current dollars,6,101082.6,,SAGDP2N,1,All industry total
SAGDP2N-1,16000,Idaho,2017,Millions of current dollars,6,72935.1,,SAGDP2N,1,All industry total
SAGDP2N-1,16000,Idaho,2018,Millions of current dollars,6,79072.4,,SAGDP2N,1,All industry total
