code,geofips,geoname,timeperiod,cl_unit,unit_mult,datavalue,noteref,table,endpoint,topic
CAINC1-1,01000,Alabama,1969,Thousands of dollars,3,9737715,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1970,Thousands of dollars,3,10628318,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1971,Thousands of dollars,3,11699341,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1972,Thousands of dollars,3,12999098,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1973,Thousands of dollars,3,14638867,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1974,Thousands of dollars,3,16241055,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1975,Thousands of dollars,3,18100116,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1976,Thousands of dollars,3,20324056,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1977,Thousands of dollars,3,22394893,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1978,Thousands of dollars,3,25339922,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1979,Thousands of dollars,3,28150828,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1980,Thousands of dollars,3,31044372,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1981,Thousands of dollars,3,34454169,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1982,Thousands of dollars,3,36384630,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1983,Thousands of dollars,3,38978846,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1984,Thousands of dollars,3,42838000,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1985,Thousands of dollars,3,46085821,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1986,Thousands of dollars,3,48777214,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1987,Thousands of dollars,3,51514370,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1988,Thousands of dollars,3,55527314,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1989,Thousands of dollars,3,60350959,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1990,Thousands of dollars,3,64234198,,CAINC1,1,Personal income
CAINC1-1,01000,Alabama,1991,Thousands of dollars,3,67982455,,CAINC1,1,Personal income
