code,geofips,geoname,timeperiod,cl_unit,unit_mult,datavalue,noteref,table,endpoint,topic
CAGDP9-1,01000,Alabama,2017,Thousands of chained 2017 dollars,3,216615470,,CAGDP9,1,All industry total
CAGDP9-1,01000,Alabama,2018,Thousands of chained 2017 dollars,3,220808767,,CAGDP9,1,All industry total
CAGDP9-1,01000,Alabama,2019,Thousands of chained 2017 dollars,3,224944577,,CAGDP9,1,All industry total
CAGDP9-1,01000,Alabama,2020,Thousands of chained 2017 dollars,3,222081439,,CAGDP9,1,All industry total
CAGDP9-1,01000,Alabama,2021,Thousands of chained 2017 dollars,3,231892626,,CAGDP9,1,All industry total
CAGDP9-1,01000,Alabama,2022,Thousands of chained 2017 dollars,3,235807320,,CAGDP9,1,All industry total
CAGDP9-1,02000,Alaska,2017,Thousands of chained 2017 dollars,3,53550915,,CAGDP9,1,All industry total
CAGDP9-1,02000,Alaska,2018,Thousands of chained 2017 dollars,3,52479584,,CAGDP9,1,All industry total
CAGDP9-1,02000,Alaska,2019,Thousands of chained 2017 dollars,3,52325267,,CAGDP9,1,All industry total
CAGDP9-1,02000,Alaska,2020,Thousands of chained 2017 dollars,3,50344621,,CAGDP9,1,All industry total
CAGDP9-1,02000,Alaska,2021,Thousands of chained 2017 dollars,3,51021839,,CAGDP9,1,All industry total
CAGDP9-1,02000,Alaska,2022,Thousands of chained 2017 dollars,3,50315131,,CAGDP9,1,All industry total
CAGDP9-1,04000,Arizona,2017,Thousands of chained 2017 dollars,3,333098997,,CAGDP9,1,All industry total
CAGDP9-1,04000,Arizona,2018,Thousands of chained 2017 dollars,3,346398299,,CAGDP9,1,All industry total
CAGDP9-1,04000,Arizona,2019,Thousands of chained 2017 dollars,3,359645749,,CAGDP9,1,All industry total
CAGDP9-1,04000,Arizona,2020,Thousands of chained 2017 dollars,3,362603499,,CAGDP9,1,All industry total
CAGDP9-1,04000,Arizona,2021,Thousands of chained 2017 dollars,3,390805167,,CAGDP9,1,All industry total
CAGDP9-1,04000,Arizona,2022,Thousands of chained 2017 dollars,3,403474201,,CAGDP9,1,All industry total
CAGDP9-1,05000,Arkansas,2017,Thousands of chained 2017 dollars,3,123882586,,CAGDP9,1,All industry total
CAGDP9-1,05000,Arkansas,2018,Thousands of chained 2017 dollars,3,126371242,,CAGDP9,1,All industry total
CAGDP9-1,05000,Arkansas,2019,Thousands of chained 2017 dollars,3,127216019,,CAGDP9,1,All industry total
CAGDP9-1,05000,Arkansas,2020,Thousands of chained 2017 dollars,3,128061208,,CAGDP9,1,All industry total
CAGDP9-1,05000,Arkansas,2021,Thousands of chained 2017 dollars,3,135568770,,CAGDP9,1,All industry total
CAGDP9-1,05000,Arkansas,2022,Thousands of chained 2017 dollars,3,137355545,,CAGDP9,1,All industry total
CAGDP9-1,06000,California,2017,Thousands of chained 2017 dollars,3,2740550256,,CAGDP9,1,All industry total
CAGDP9-1,06000,California,2018,Thousands of chained 2017 dollars,3,2850970282,,CAGDP9,1,All industry total
CAGDP9-1,06000,California,2019,Thousands of chained 2017 dollars,3,2962792081,,CAGDP9,1,All industry total
CAGDP9-1,06000,California,2020,Thousands of chained 2017 dollars,3,2925146950,,CAGDP9,1,All industry total
CAGDP9-1,06000,California,2021,Thousands of chained 2017 dollars,3,3146185348,,CAGDP9,1,All industry total
CAGDP9-1,06000,California,2022,Thousands of chained 2017 dollars,3,3167460825,,CAGDP9,1,All industry total
CAGDP9-1,08000,Colorado,2017,Thousands of chained 2017 dollars,3,350209112,,CAGDP9,1,All industry total
CAGDP9-1,08000,Colorado,2018,Thousands of chained 2017 dollars,3,365204531,,CAGDP9,1,All industry total
CAGDP9-1,08000,Colorado,2019,Thousands of chained 2017 dollars,3,383595975,,CAGDP9,1,All industry total
CAGDP9-1,08000,Colorado,2020,Thousands of chained 2017 dollars,3,380921899,,CAGDP9,1,All industry total
CAGDP9-1,08000,Colorado,2021,Thousands of chained 2017 dollars,3,406961532,,CAGDP9,1,All industry total
CAGDP9-1,08000,Colorado,2022,Thousands of chained 2017 dollars,3,416114361,,CAGDP9,1,All industry total
CAGDP9-1,09000,Connecticut,2017,Thousands of chained 2017 dollars,3,273875070,,CAGDP9,1,All industry total
CAGDP9-1,09000,Connecticut,2018,Thousands of chained 2017 dollars,3,274582807,,CAGDP9,1,All industry total
CAGDP9-1,09000,Connecticut,2019,Thousands of chained 2017 dollars,3,274219351,,CAGDP9,1,All industry total
CAGDP9-1,09000,Connecticut,2020,Thousands of chained 2017 dollars,3,258625032,,CAGDP9,1,All industry total
CAGDP9-1,09000,Connecticut,2021,Thousands of chained 2017 dollars,3,268846677,,CAGDP9,1,All industry total
CAGDP9-1,09000,Connecticut,2022,Thousands of chained 2017 dollars,3,276668755,,CAGDP9,1,All industry total
CAGDP9-1,10000,Delaware,2017,Thousands of chained 2017 dollars,3,69555627,,CAGDP9,1,All industry total
CAGDP9-1,10000,Delaware,2018,Thousands of chained 2017 dollars,3,70856435,,CAGDP9,1,All industry total
CAGDP9-1,10000,Delaware,2019,Thousands of chained 2017 dollars,3,74597399,,CAGDP9,1,All industry total
CAGDP9-1,10000,Delaware,2020,Thousands of chained 2017 dollars,3,72550314,,CAGDP9,1,All industry total
CAGDP9-1,10000,Delaware,2021,Thousands of chained 2017 dollars,3,74436666,,CAGDP9,1,All industry total
CAGDP9-1,10000,Delaware,2022,Thousands of chained 2017 dollars,3,75172590,,CAGDP9,1,All industry total
CAGDP9-1,11000,District of Columbia,2017,Thousands of chained 2017 dollars,3,134298772,,CAGDP9,1,All industry total
CAGDP9-1,11000,District of Columbia,2018,Thousands of chained 2017 dollars,3,138056788,,CAGDP9,1,All industry total
CAGDP9-1,11000,District of Columbia,2019,Thousands of chained 2017 dollars,3,138867379,,CAGDP9,1,All industry total
CAGDP9-1,11000,District of Columbia,2020,Thousands of chained 2017 dollars,3,137762271,,CAGDP9,1,All industry total
CAGDP9-1,11000,District of Columbia,2021,Thousands of chained 2017 dollars,3,142676290,,CAGDP9,1,All industry total
CAGDP9-1,11000,District of Columbia,2022,Thousands of chained 2017 dollars,3,144029597,,CAGDP9,1,All industry total
CAGDP9-1,12000,Florida,2017,Thousands of chained 2017 dollars,3,1014866863,,CAGDP9,1,All industry total
CAGDP9-1,12000,Florida,2018,Thousands of chained 2017 dollars,3,1050433812,,CAGDP9,1,All industry total
CAGDP9-1,12000,Florida,2019,Thousands of chained 2017 dollars,3,1079271045,,CAGDP9,1,All industry total
CAGDP9-1,12000,Florida,2020,Thousands of chained 2017 dollars,3,1068377540,,CAGDP9,1,All industry total
CAGDP9-1,12000,Florida,2021,Thousands of chained 2017 dollars,3,1164778182,,CAGDP9,1,All industry total
CAGDP9-1,12000,Florida,2022,Thousands of chained 2017 dollars,3,1218430197,,CAGDP9,1,All industry total
CAGDP9-1,13000,Georgia,2017,Thousands of chained 2017 dollars,3,583543340,,CAGDP9,1,All industry total
CAGDP9-1,13000,Georgia,2018,Thousands of chained 2017 dollars,3,600934681,,CAGDP9,1,All industry total
CAGDP9-1,13000,Georgia,2019,Thousands of chained 2017 dollars,3,620792426,,CAGDP9,1,All industry total
CAGDP9-1,13000,Georgia,2020,Thousands of chained 2017 dollars,3,602321806,,CAGDP9,1,All industry total
CAGDP9-1,13000,Georgia,2021,Thousands of chained 2017 dollars,3,639236039,,CAGDP9,1,All industry total
CAGDP9-1,13000,Georgia,2022,Thousands of chained 2017 dollars,3,655827268,,CAGDP9,1,All industry total
CAGDP9-1,15000,Hawaii,2017,Thousands of chained 2017 dollars,3,87436367,,CAGDP9,1,All industry total
CAGDP9-1,15000,Hawaii,2018,Thousands of chained 2017 dollars,3,88836402,,CAGDP9,1,All industry total
CAGDP9-1,15000,Hawaii,2019,Thousands of chained 2017 dollars,3,88945262,,CAGDP9,1,All industry total
CAGDP9-1,15000,Hawaii,2020,Thousands of chained 2017 dollars,3,79592540,,CAGDP9,1,All industry total
CAGDP9-1,15000,Hawaii,2021,Thousands of chained 2017 dollars,3,84121542,,CAGDP9,1,All industry total
CAGDP9-1,15000,Hawaii,2022,Thousands of chained 2017 dollars,3,85211432,,CAGDP9,1,All industry total
CAGDP9-1,16000,Idaho,2017,Thousands of chained 2017 dollars,3,72935116,,CAGDP9,1,All industry total
CAGDP9-1,16000,Idaho,2018,Thousands of chained 2017 dollars,3,77652137,,CAGDP9,1,All industry total
CAGDP9-1,16000,Idaho,2019,Thousands of chained 2017 dollars,3,81261310,,CAGDP9,1,All industry total
CAGDP9-1,16000,Idaho,2020,Thousands of chained 2017 dollars,3,82818589,,CAGDP9,1,All industry total
CAGDP9-1,16000,Idaho,2021,Thousands of chained 2017 dollars,3,87992888,,CAGDP9,1,All industry total
CAGDP9-1,16000,Idaho,2022,Thousands of chained 2017 dollars,3,91683659,,CAGDP9,1,All industry total
CAGDP9-1,17000,Illinois,2017,Thousands of chained 2017 dollars,3,832826821,,CAGDP9,1,All industry total
CAGDP9-1,17000,Illinois,2018,Thousands of chained 2017 dollars,3,851517192,,CAGDP9,1,All industry total
CAGDP9-1,17000,Illinois,2019,Thousands of chained 2017 dollars,3,857985023,,CAGDP9,1,All industry total
CAGDP9-1,17000,Illinois,2020,Thousands of chained 2017 dollars,3,810210057,,CAGDP9,1,All industry total
CAGDP9-1,17000,Illinois,2021,Thousands of chained 2017 dollars,3,852749076,,CAGDP9,1,All industry total
CAGDP9-1,17000,Illinois,2022,Thousands of chained 2017 dollars,3,864170938,,CAGDP9,1,All industry total
CAGDP9-1,18000,Indiana,2017,Thousands of chained 2017 dollars,3,357535761,,CAGDP9,1,All industry total
CAGDP9-1,18000,Indiana,2018,Thousands of chained 2017 dollars,3,368762945,,CAGDP9,1,All industry total
CAGDP9-1,18000,Indiana,2019,Thousands of chained 2017 dollars,3,371044463,,CAGDP9,1,All industry total
CAGDP9-1,18000,Indiana,2020,Thousands of chained 2017 dollars,3,359184703,,CAGDP9,1,All industry total
CAGDP9-1,18000,Indiana,2021,Thousands of chained 2017 dollars,3,384051049,,CAGDP9,1,All industry total
CAGDP9-1,18000,Indiana,2022,Thousands of chained 2017 dollars,3,396009189,,CAGDP9,1,All industry total
CAGDP9-1,19000,Iowa,2017,Thousands of chained 2017 dollars,3,187124993,,CAGDP9,1,All industry total
CAGDP9-1,19000,Iowa,2018,Thousands of chained 2017 dollars,3,189245131,,CAGDP9,1,All industry total
CAGDP9-1,19000,Iowa,2019,Thousands of chained 2017 dollars,3,188318356,,CAGDP9,1,All industry total
CAGDP9-1,19000,Iowa,2020,Thousands of chained 2017 dollars,3,187136650,,CAGDP9,1,All industry total
CAGDP9-1,19000,Iowa,2021,Thousands of chained 2017 dollars,3,198470829,,CAGDP9,1,All industry total
CAGDP9-1,19000,Iowa,2022,Thousands of chained 2017 dollars,3,197846255,,CAGDP9,1,All industry total
CAGDP9-1,20000,Kansas,2017,Thousands of chained 2017 dollars,3,166273557,,CAGDP9,1,All industry total
CAGDP9-1,20000,Kansas,2018,Thousands of chained 2017 dollars,3,169796876,,CAGDP9,1,All industry total
CAGDP9-1,20000,Kansas,2019,Thousands of chained 2017 dollars,3,170351748,,CAGDP9,1,All industry total
CAGDP9-1,20000,Kansas,2020,Thousands of chained 2017 dollars,3,168540833,,CAGDP9,1,All industry total
CAGDP9-1,20000,Kansas,2021,Thousands of chained 2017 dollars,3,172839773,,CAGDP9,1,All industry total
CAGDP9-1,20000,Kansas,2022,Thousands of chained 2017 dollars,3,174794603,,CAGDP9,1,All industry total
CAGDP9-1,21000,Kentucky,2017,Thousands of chained 2017 dollars,3,203563965,,CAGDP9,1,All industry total
CAGDP9-1,21000,Kentucky,2018,Thousands of chained 2017 dollars,3,205940089,,CAGDP9,1,All industry total
CAGDP9-1,21000,Kentucky,2019,Thousands of chained 2017 dollars,3,211739686,,CAGDP9,1,All industry total
CAGDP9-1,21000,Kentucky,2020,Thousands of chained 2017 dollars,3,206288782,,CAGDP9,1,All industry total
CAGDP9-1,21000,Kentucky,2021,Thousands of chained 2017 dollars,3,214565067,,CAGDP9,1,All industry total
CAGDP9-1,21000,Kentucky,2022,Thousands of chained 2017 dollars,3,217568064,,CAGDP9,1,All industry total
CAGDP9-1,22000,Louisiana,2017,Thousands of chained 2017 dollars,3,239830737,,CAGDP9,1,All industry total
CAGDP9-1,22000,Louisiana,2018,Thousands of chained 2017 dollars,3,245220304,,CAGDP9,1,All industry total
CAGDP9-1,22000,Louisiana,2019,Thousands of chained 2017 dollars,3,246361128,,CAGDP9,1,All industry total
CAGDP9-1,22000,Louisiana,2020,Thousands of chained 2017 dollars,3,228825323,,CAGDP9,1,All industry total
CAGDP9-1,22000,Louisiana,2021,Thousands of chained 2017 dollars,3,234014356,,CAGDP9,1,All industry total
