Key,Desc,table
500,Private nonfarm employment: Manufacturing (31-33),CAEMP25N
400,Private nonfarm employment: Construction (23),CAEMP25N
70,Farm employment (111-112),CAEMP25N
100,"Private nonfarm employment: Forestry, fishing, and related activities",CAEMP25N
900,Private nonfarm employment: Information (51),CAEMP25N
700,Private nonfarm employment: Retail trade (44-45),CAEMP25N
900,Private nonfarm employment: Information,CAEMP25N
70,Farm employment,CAEMP25N
700,Private nonfarm employment: Retail trade,CAEMP25N
1400,Private nonfarm employment: Administrative and support and waste management and remediation services,CAEMP25N
1400,Private nonfarm employment: Administrative and support and waste management and remediation services (56),CAEMP25N
600,Private nonfarm employment: Wholesale trade,CAEMP25N
1800,Private nonfarm employment: Accommodation and food services (72),CAEMP25N
1900,Private nonfarm employment: Other services (except government and government enterprises) (81),CAEMP25N
1300,Private nonfarm employment: Management of companies and enterprises,CAEMP25N
1800,Private nonfarm employment: Accommodation and food services,CAEMP25N
1000,Private nonfarm employment: Finance and insurance,CAEMP25N
60,Nonfarm proprietors employment,CAEMP25N
10,Total employment,CAEMP25N
90,Private nonfarm employment,CAEMP25N
100,"Private nonfarm employment: Forestry, fishing, and related activities (113-115)",CAEMP25N
2000,Employment: Government and government enterprises,CAEMP25N
90,Private nonfarm employment,CAEMP25N
1600,Private nonfarm employment: Health care and social assistance,CAEMP25N
1600,Private nonfarm employment: Health care and social assistance (62),CAEMP25N
60,Nonfarm proprietors employment,CAEMP25N
1700,"Private nonfarm employment: Arts, entertainment, and recreation",CAEMP25N
1700,"Private nonfarm employment: Arts, entertainment, and recreation (71)",CAEMP25N
1500,Private nonfarm employment: Educational services (61),CAEMP25N
40,Proprietors employment,CAEMP25N
40,Proprietors employment,CAEMP25N
1500,Private nonfarm employment: Educational services,CAEMP25N
400,Private nonfarm employment: Construction,CAEMP25N
1000,Private nonfarm employment: Finance and insurance (52),CAEMP25N
1900,Private nonfarm employment: Other services (except government and government enterprises),CAEMP25N
20,Wage and salary employment,CAEMP25N
1300,Private nonfarm employment: Management of companies and enterprises (55),CAEMP25N
80,Nonfarm employment,CAEMP25N
500,Private nonfarm employment: Manufacturing,CAEMP25N
2000,Employment: Government and government enterprises,CAEMP25N
10,Total employment,CAEMP25N
1100,Private nonfarm employment: Real estate and rental and leasing (53),CAEMP25N
1100,Private nonfarm employment: Real estate and rental and leasing,CAEMP25N
2001,Govt. and govt. enterprises employment: Federal civilian,CAEMP25N
50,Farm proprietors employment,CAEMP25N
800,Private nonfarm employment: Transportation and warehousing,CAEMP25N
2001,Govt. and govt. enterprises employment: Federal civilian,CAEMP25N
800,Private nonfarm employment: Transportation and warehousing (48-49),CAEMP25N
200,"Private nonfarm employment: Mining, quarrying, and oil and gas extraction (21)",CAEMP25N
2012,Govt. and govt. enterprises employment: Local government,CAEMP25N
80,Nonfarm employment,CAEMP25N
2002,Govt. and govt. enterprises employment: Military,CAEMP25N
200,"Private nonfarm employment: Mining, quarrying, and oil and gas extraction",CAEMP25N
600,Private nonfarm employment: Wholesale trade (42),CAEMP25N
2010,Govt. and govt. enterprises employment: State and local,CAEMP25N
50,Farm proprietors employment,CAEMP25N
2011,Govt. and govt. enterprises employment: State government,CAEMP25N
1200,"Private nonfarm employment: Professional, scientific, and technical services",CAEMP25N
300,Private nonfarm employment: Utilities,CAEMP25N
300,Private nonfarm employment: Utilities (22),CAEMP25N
1200,"Private nonfarm employment: Professional, scientific, and technical services (54)",CAEMP25N
2002,Govt. and govt. enterprises employment: Military,CAEMP25N
2011,Govt. and govt. enterprises employment: State government,CAEMP25N
2010,Govt. and govt. enterprises employment: State and local,CAEMP25N
20,Wage and salary employment,CAEMP25N
2012,Govt. and govt. enterprises employment: Local government,CAEMP25N
400,Private nonfarm employment: Manufacturing (D),CAEMP25S
60,Nonfarm proprietors employment,CAEMP25S
500,Private nonfarm employment: Transportation and public utilities (E),CAEMP25S
910,Govt. and govt. enterprises employment: Federal civilian,CAEMP25S
